seed,Region,Team,Rd2,Swt16,Elite8,Final4,Final,Champ
1,E,Duke,990887,852509,689608,528029,352779,213534
1,MW,Michigan,994636,881001,707049,498690,307417,183860
1,W,Arizona,995895,855808,686482,494496,299825,179471
1,S,Florida,997932,778174,532825,302284,156736,76044
2,S,Houston,968822,733860,436377,250477,127943,60993
2,MW,Iowa St.,984263,755821,496580,231748,113768,54043
3,S,Illinois,969639,754406,407724,222622,107572,48175
2,W,Purdue,976117,747274,467060,208808,94626,42502
2,E,Connecticut,958196,658840,355107,129103,53839,19068
3,E,Michigan St.,915892,574078,328377,121440,51873,18516
3,W,Gonzaga,963318,633497,315836,117914,44702,16792
5,S,Vanderbilt,822385,463646,189446,79534,30341,10418
3,MW,Virginia,930236,531103,230960,77955,28376,9952
4,S,Nebraska,925116,485887,185022,72558,25793,8066
4,W,Arkansas,906936,563394,159691,71994,23826,7845
5,E,St. John's,797732,465335,127290,62086,22937,6972
6,MW,Tennessee,731244,376807,158326,51526,18043,6042
4,MW,Alabama,849254,490213,128249,54786,18192,5901
6,E,Louisville,724385,339518,172133,52452,18767,5465
5,MW,Texas Tech,781467,420240,112741,47304,15780,5067
4,E,Kansas,867079,455124,114286,51271,17287,4753
5,W,Wisconsin,832253,392214,93040,36438,10108,2805
6,W,BYU,597672,237788,92086,24900,6804,1860
7,S,Saint Mary's,607193,181478,66938,22535,6766,1728
7,E,UCLA,656108,252470,99529,24629,7121,1681
8,E,Ohio St.,610757,104681,47468,19103,5712,1393
9,S,Iowa,571005,141593,58782,18920,5394,1284
7,MW,Kentucky,552788,144809,58482,13487,3385,874
7,W,Miami FL,625330,176653,66773,15118,3438,803
6,S,North Carolina,589763,158334,47553,13697,3371,695
9,W,Utah St.,518930,75411,31260,10560,2470,560
8,W,Villanova,481070,68490,27221,8783,1989,459
8,MW,Georgia,557557,72857,29115,8991,2083,445
8,S,Clemson,428995,80153,27627,7185,1663,336
10,MW,Santa Clara,447212,98235,35169,6777,1491,287
10,S,Texas A&M,392807,81063,21765,5215,1135,216
11,W,N.C. State,209339,66071,20389,4258,881,181
9,MW,Saint Louis,442443,45720,15931,4233,868,161
11,W,Texas,192989,59582,18074,3573,727,155
9,E,TCU,389243,41943,14525,4268,886,136
11,S,VCU,410237,83242,19222,4074,767,118
11,MW,SMU,232613,78812,19418,3356,644,117
11,E,South Florida,275615,74498,22242,3368,578,70
10,W,Missouri,374670,73489,19513,2890,427,58
10,E,UCF,343892,84292,20804,2821,452,55
12,E,Northern Iowa,202268,57748,5674,1209,153,16
12,S,McNeese,177615,43384,5953,858,115,14
12,MW,Akron,218533,54361,4572,764,93,8
13,MW,Hofstra,150746,35186,2327,329,26,4
13,E,Cal Baptist,132921,21793,1098,121,11,2
12,W,High Point,167747,27244,1539,182,7,0
14,E,North Dakota St.,84108,11906,1577,92,6,0
13,W,Hawaii,93064,17148,754,81,3,0
13,S,Troy,74884,7083,343,27,2,0
11,MW,Miami OH,36143,5800,594,41,1,0
16,E,Siena,9113,867,51,4,1,0
14,MW,Wright St.,69764,7478,418,11,0,0
14,S,Penn,30361,4018,190,8,0,0
15,S,Idaho,31178,3599,231,6,0,0
15,E,Furman,41804,4398,231,4,0,0
14,W,Kennesaw St.,36682,3062,164,3,0,0
15,W,Queens,23883,2584,105,2,0,0
15,MW,Tennessee St.,15737,1135,53,1,0,0
16,MW,UMBC,3541,283,10,1,0,0
16,W,LIU,4105,291,13,0,0,0
16,MW,Howard,1823,139,6,0,0,0
16,S,Lehigh,1327,51,2,0,0,0
16,S,Prairie View A&M,741,29,0,0,0,0
