Team,Seed,R32,S16,E8,F4,F2,Champ
Iowa,9,100.0,100.0,100.0,19.1,2.7,0.3
Purdue,2,100.0,100.0,100.0,26.5,8.5,2.8
Illinois,3,100.0,100.0,100.0,80.9,32.2,10.5
Arizona,1,100.0,100.0,100.0,73.5,39.3,23.8
Michigan,1,100.0,100.0,92.0,76.8,47.1,29.6
Duke,1,100.0,100.0,81.1,60.7,46.6,26.0
Iowa State,2,100.0,100.0,60.7,13.8,3.4,1.0
Connecticut,2,100.0,100.0,56.4,18.5,9.4,3.1
Michigan State,3,100.0,100.0,43.6,12.1,5.5,1.5
Tennessee,6,100.0,100.0,39.3,6.6,1.2,0.3
St. John's,5,100.0,100.0,18.9,8.8,3.7,1.0
Alabama,4,100.0,100.0,8.1,2.9,0.4,0.1
